Indicator,R_squared,R_squared_pct,Coefficient,P_value,Std_Error,Significant,Variables_Used
indiesleaze,0.11359390010523673,11.359390010523674,-0.4465750153193375,4.134328683591411e-08,0.07889750690760054,True,3
lipstickindex,3.669513239668021e-05,0.003669513239668021,-0.02219831213458745,0.9237707431561984,0.23175961010740206,False,2
maxiskirt,0.028810400927397173,2.8810400927397173,-0.22719668411566563,0.006919198760670444,0.08342752209493438,True,3
bigbag,0.15428568001738174,15.428568001738174,-0.5341618345072279,1.0054229736320186e-10,0.07909551953994219,True,3
highheelindex,0.09458041953716723,9.458041953716723,-0.39836842594384947,6.392869434619647e-07,0.07795414783197024,True,3
peplums,0.022120905562668547,2.2120905562668547,-0.3460828949869721,0.018154715542557962,0.14552957486428483,True,2
blazers,0.09523885022521095,9.523885022521094,-0.3904852659742196,5.818409829365749e-07,0.0761192581712466,True,2
mini,0.17416318030975608,17.41631803097561,-0.5215339096881642,4.853062826481615e-12,0.07182596911768162,True,4
