cci,trend_score,indicator
100.4646,0.3494419396007521,Indiesleaze
100.6011,0.256305581829581,Indiesleaze
100.6466,0.2850554726095517,Indiesleaze
100.578,0.1408554053901657,Indiesleaze
100.4687,0.0432183974401508,Indiesleaze
100.4043,-0.0207935537826912,Indiesleaze
100.4072,-0.1374509935035131,Indiesleaze
100.4591,-0.2204818830779619,Indiesleaze
100.4482,-0.3771937166039404,Indiesleaze
100.369,-0.2946160611562953,Indiesleaze
100.353,-0.1678587608844228,Indiesleaze
100.3886,0.1443400008359436,Indiesleaze
100.4265,0.364311767209647,Indiesleaze
100.4984,0.1419315992790877,Indiesleaze
100.5551,0.1350449138478288,Indiesleaze
100.5492,-0.0411182192713196,Indiesleaze
100.5726,-0.1468450617075285,Indiesleaze
100.6716,-0.1922069827014502,Indiesleaze
100.7779,-0.2930607626374427,Indiesleaze
100.8479,-0.3922713211842794,Indiesleaze
100.8715,-0.508099610258239,Indiesleaze
100.9022,-0.3594755077714689,Indiesleaze
100.9646,-0.1901990600835795,Indiesleaze
101.0394,-0.0532743319153085,Indiesleaze
101.1279,0.2116290976577392,Indiesleaze
101.1537,0.0977301055107051,Indiesleaze
101.1465,0.099387982111644,Indiesleaze
101.1462,-0.1857187654296906,Indiesleaze
101.1635,-0.1298565049457332,Indiesleaze
101.1716,-0.2080163427994514,Indiesleaze
101.1573,-0.3060216488443674,Indiesleaze
101.1505,-0.4218519486978127,Indiesleaze
101.1641,-0.4068754287803598,Indiesleaze
101.1837,-0.3643521671378713,Indiesleaze
101.1361,-0.2258336255153233,Indiesleaze
101.0653,-0.0337971618190118,Indiesleaze
100.9734,0.2137213462797272,Indiesleaze
100.8683,0.1699329758826274,Indiesleaze
100.7913,0.1606399923414982,Indiesleaze
100.7627,-0.0232223108645022,Indiesleaze
100.828,-0.0025418990457705,Indiesleaze
100.9065,0.0873995356835784,Indiesleaze
100.9201,-0.130934709614141,Indiesleaze
100.8882,-0.2427190868347464,Indiesleaze
100.7932,-0.1859494747057669,Indiesleaze
100.665,-0.1057557510635511,Indiesleaze
100.5145,0.0999900203486162,Indiesleaze
100.4945,0.3738744874218966,Indiesleaze
100.5689,0.8701593852831915,Indiesleaze
100.712,0.8008176332346434,Indiesleaze
100.8151,0.9531319120241498,Indiesleaze
100.7446,0.6404581599003244,Indiesleaze
100.2593,0.6287207782732898,Indiesleaze
99.21815,0.0802617854512882,Indiesleaze
98.10604,0.1281388003106238,Indiesleaze
97.75997,0.2962344652480191,Indiesleaze
97.96384,0.2330328952337845,Indiesleaze
98.23829,0.3269978862915324,Indiesleaze
98.49018,0.5352307776190011,Indiesleaze
98.70477,0.6911738341110933,Indiesleaze
98.78632,0.8641055400324807,Indiesleaze
98.79976,0.7251505229418982,Indiesleaze
98.91467,0.8661561844797474,Indiesleaze
99.05409,0.6915463390999658,Indiesleaze
99.32957,0.7792908436782546,Indiesleaze
99.73615,0.5618639500255574,Indiesleaze
100.0586,0.4913210597015597,Indiesleaze
100.3027,0.2288858879380584,Indiesleaze
100.4537,-0.0570739626412796,Indiesleaze
100.3535,0.1989348588826384,Indiesleaze
100.1148,0.4387563003415111,Indiesleaze
99.95164,0.6214153618250765,Indiesleaze
