indicator,correlation_coefficient,r_squared,p_value,coefficient,significant
Indiesleaze,-0.3370369417515492,0.1135939001052367,4.134328683591411e-08,-0.4465750153193375,True
Lipstickindex,-0.0060576507324996195,3.669513239668021e-05,0.9237707431561984,-0.0221983121345874,False
Maxiskirt,-0.16973626874477485,0.0288104009273971,0.0069191987606704,-0.2271966841156656,True
Bigbag,-0.39279215880333174,0.1542856800173817,1.0054229736320186e-10,-0.5341618345072279,True
Highheelindex,-0.30753929754938103,0.0945804195371672,6.392869434619647e-07,-0.3983684259438494,True
Peplums,-0.14873098386909428,0.0221209055626685,0.0181547155425579,-0.3460828949869721,True
Blazers,-0.30860792314069263,0.0952388502252109,5.818409829365749e-07,-0.3904852659742196,True
Mini,-0.41732862388021696,0.174163180309756,4.853062826481615e-12,-0.5215339096881642,True
