date,cci,indiesleaze_skinnyjeans,indiesleaze_cheetahprint,indiesleaze_furcoat,indiesleaze_leatherskirt,indiesleaze_discopants,lipstickindex_lipstick,lipstickindex_lip_stick,lipstickindex_lipgloss,lipstickindex_lipliner,lipstickindex_liptint,maxiskirt_maxiskirt,maxiskirt_longskirt,maxiskirt_bohoskirt,maxiskirt_maxidress,maxiskirt_longdress,bigbag_hobobag,bigbag_oversizedbag,bigbag_totebag,bigbag_neverfull,bigbag_balenciagacitybag,highheelindex_highheels,highheelindex_stilletoheel,highheelindex_platforms,highheelindex_platformheels,highheelindex_pumps,peplums_peplum,peplums_peplumtops,peplums_peplumdress,peplums_rufflewaist,peplums_peplumblazer,blazers_blazer,blazers_womensblazer,blazers_oversizedblazer,blazers_boyfriendblazer,blazers_croppedblazer,mini_miniskirt,mini_minidress,mini_micromini,mini_microshort,mini_micominiskirt,cpi,cci_fred,consumer_sentiment,unemployment_rate,retail_sales_clothing,personal_saving_rate,retail_total_spending,retail_avg_transaction,retail_transaction_count,retail_unique_customers,census_sales_naics_446,census_sales_naics_44812,census_cci,cpi_index,inflation_rate_yoy,year,month,quarter,is_great_recession,is_covid_crisis,is_inflation_surge
2004-12-01,100.9582,0.0,32.894,299.065,68.751,0.0,0.0,88.675,179.721,0.0,0.0,0.0,54.499,0.0,0.0,80.369,69.467,0.0,204.032,0.0,0.0,385.998,0.0,74.23,12.952,589.782,0.0,0.0,0.0,0,0.0,860.237,0.0,0.0,0.0,0.0,220.587,0.0,344.593,0.0,0.0,198.6,104.4741,97.1,5.4,27633,6.2,,,,,16681.0,2919.0,104.4741,1.0205549845837616,,2004,12,4,0,0,0
2005-01-01,101.0323,0.0,16.447,195.042,42.56,0.0,0.0,116.889,147.045,16.13,0.0,0.0,44.59,0.0,0.0,93.764,57.643,0.0,156.948,0.0,0.0,371.152,3.021,74.23,19.428,647.929,0.0,0.0,0.0,0,0.0,656.497,0.0,0.0,0.0,0.0,183.823,0.0,258.445,10.64,10.538,199.0,102.7526,95.5,5.3,11740,2.7,,,,,16999.0,2937.0,102.7526,1.0226104830421376,2.261048304213764,2005,1,1,0,0,0
2005-02-01,101011.0,5.436,24.67,143.031,32.738,0.0,0.0,157.196,147.045,10.753,0.0,0.0,54.499,0.0,0.0,93.764,47.297,0.0,141.253,0.0,0.0,363.729,0.0,78.596,17.269,664.543,0.0,0.0,0.0,0,0.0,679.135,0.0,0.0,0.0,0.0,165.44,0.0,261.891,0.0,0.0,199.4,101.2463,94.1,5.4,13520,2.3,,,,,17085.0,2981.0,101.2463,1.024665981500514,2.308876346844535,2005,2,1,0,0,0
2005-03-01,100.8773,0.0,24.67,91.02,22.917,0.0,0.0,104.797,130.706,0.0,0.0,0.0,64.408,0.0,0.0,80.369,59.121,0.0,156.948,0.0,0.0,341.46,0.0,74.23,12.952,647.929,0.0,0.0,0.0,0,0.0,679.135,0.0,0.0,0.0,0.0,183.823,0.0,227.431,0.0,9.835,200.1,99.63239,92.6,5.2,15358,2.5,,,,,17038.0,2936.0,99.63239,1.0282631038026722,2.35294117647058,2005,3,1,0,0,0
2005-04-01,100.7314,0.0,24.67,65.014,29.464,0.0,0.0,104.797,130.706,16.13,0.0,0.0,76.795,0.0,0.0,93.764,59.121,0.0,156.948,0.0,0.0,363.729,0.0,78.596,10.793,689.463,0.0,0.0,0.0,0,0.0,588.583,0.0,0.0,0.0,0.0,183.823,0.0,237.769,11.97,0.0,200.2,94.36026,87.7,5.2,15338,2.1,,,,,17143.0,2995.0,94.36026,1.0287769784172662,2.1949974476773715,2005,4,2,0,0,0
2005-05-01,100.6746,5.436,16.447,52.011,36.012,0.0,0.0,104.797,147.045,10.753,0.0,0.0,69.363,0.0,0.0,80.369,57.643,0.0,172.643,0.0,0.0,363.729,0.0,82.963,15.111,772.531,0.0,0.0,0.0,0,0.0,611.221,0.0,0.0,0.0,0.0,202.205,0.0,251.553,0.0,9.835,200.5,93.4995,86.9,5.1,15597,2.6,,,,,17241.0,2977.0,93.4995,1.0303186022610484,2.1916411824668858,2005,5,2,0,0,0
2005-06-01,100.7139,0.0,0.0,65.014,26.191,0.0,0.0,84.644,130.706,10.753,0.0,0.0,71.84,0.0,0.0,53.579,53.209,0.0,141.253,0.0,0.0,348.883,0.0,74.23,19.428,805.758,0.0,0.0,0.0,0,0.0,543.308,0.0,0.0,0.0,0.0,193.014,0.0,258.445,12.635,11.065,200.6,103.2906,96.0,5.0,15182,2.0,,,,,17187.0,3063.0,103.2906,1.0308324768756423,2.0345879959308144,2005,6,2,0,0,0
2005-07-01,100.6771,5.436,16.447,78.017,26.191,0.0,0.0,84.644,114.368,16.13,0.0,0.0,66.886,0.0,0.0,66.974,70.945,0.0,172.643,0.0,0.0,356.306,2.884,74.23,25.904,772.531,0.0,0.0,0.0,0,0.0,588.583,0.0,0.0,0.0,0.0,202.205,0.0,261.891,0.0,0.0,200.9,103.8286,96.5,5.0,14865,1.4,,,,,17441.0,2987.0,103.8286,1.0323741007194245,2.083333333333326,2005,7,3,0,0,0
2005-08-01,100.4738,16.309,24.67,78.017,39.286,0.0,0.0,116.889,114.368,16.13,0.0,0.0,66.886,0.0,0.0,80.369,79.814,0.0,188.337,0.0,0.0,319.191,3.296,78.596,12.952,747.611,0.0,0.0,0.0,0,0.0,679.135,0.0,0.0,0.0,0.0,202.205,3.374,258.445,0.0,12.997,201.1,95.86658,89.1,4.9,16311,2.0,,,,,17357.0,3033.0,95.86658,1.0334018499486126,2.1330624682579957,2005,8,3,0,0,0
2005-09-01,100.2284,21.745,24.67,117.025,26.191,0.0,0.0,116.889,98.03,10.753,0.0,0.0,69.363,0.0,0.0,80.369,62.077,0.0,156.948,0.0,0.0,341.46,0.0,96.062,15.111,714.384,0.0,0.0,0.0,0,0.0,656.497,0.0,0.0,0.0,0.0,193.014,3.254,251.553,7.093,0.0,201.3,82.74007,76.9,5.0,14606,2.0,,,,,17493.0,3023.0,82.74007,1.0344295991778008,1.9240506329113893,2005,9,3,0,0,0
