,cci,cpi,inflation_rate_yoy,consumer_sentiment,unemployment_rate,retail_sales_clothing,retail_sales_real,personal_saving_rate
Indie Sleaze_score,-0.2186410349879619,0.38231462367104146,0.15392973661285936,-0.08157022306763073,0.05160367954710139,0.2892930764539291,0.10706976275021793,0.1456104188143009
Lipstick Index_score,-0.19966245239610145,0.951958765340653,0.6617137635747539,-0.1341879909715185,-0.4937769221466729,0.5627599724309955,0.06741482790773258,0.17307666515599104
Maxi Skirt_score,-0.2027061372822544,0.8795300542117798,0.5203859889117005,-0.13615842838758335,-0.41420554263265535,0.4929051562141062,0.04194556627282174,0.05666700890608154
Big Bag_score,-0.3088066901390178,0.9362814342986344,0.5818790045250157,-0.21426073115220282,-0.3674010439827125,0.6149826014044905,0.13999367451396696,0.2360068670547589
High Heel Index_score,-0.35794843082040606,0.9430397241106392,0.727847087574287,-0.2988681683513309,-0.4315677437764584,0.41487281203708665,-0.08562019803399255,0.2148216272584915
Peplums_score,0.07675281188758314,0.2622980447491598,-0.038707006918298204,0.22567618605233467,-0.0544206621831199,0.20897111406223529,0.08998967051111159,0.13629722541454162
Blazers_score,-0.38996038440757674,0.9119606934538462,0.8056050771051324,-0.3470733776983603,-0.44265943886828035,0.47279751197308245,-0.0021662188509364924,0.09662544420831162
Mini Skirts_score,-0.39957260977261017,0.7717048644065696,0.6178395927594869,-0.4321394929410256,-0.3358198669353098,0.42270297295847475,0.0247038731860126,-0.07386807030189681
