,cci,cpi,inflation_rate_yoy,consumer_sentiment,unemployment_rate,retail_sales_clothing,retail_sales_real,personal_saving_rate
Indie Sleaze_score,0.0006476089592942873,9.001366786035789e-10,0.017011479018071003,0.2079644833156208,0.4261498140220672,5.211018498203121e-06,0.09796142236329285,0.024067677189131727
Lipstick Index_score,0.0018812470315734678,2.585123655687432e-124,1.3220777280777702e-31,0.03776626447998481,3.723197752749876e-16,1.896278356412158e-21,0.29828546285337165,0.007196614498203767
Maxi Skirt_score,0.0015953734620245455,1.0112240405485701e-78,4.6856122665796196e-18,0.03501608366022737,2.2925400527399446e-11,4.269846966088074e-16,0.5178196415643502,0.3821178359344975
Big Bag_score,1.0673222702978607e-06,3.9667690203655153e-110,3.8146051859180936e-23,0.0008351747407417144,4.395841727398433e-09,2.3202914493663212e-26,0.030148200661909735,0.00022481308668356102
High Heel Index_score,1.1528032560491005e-08,9.568379122481171e-116,7.168695660590048e-41,2.428289205566307e-06,2.623929447276656e-12,2.1140987544228128e-11,0.1861927658300908,0.0008086361540787345
Peplums_score,0.23617967006824864,3.8791903885841766e-05,0.5506813900141158,0.00042593371975905306,0.4012999532079671,0.0011279773297701108,0.1646331884094709,0.034828938262067045
Blazers_score,3.8681518120167485e-10,4.6277186773160773e-94,4.985566111265574e-56,3.3639886291821835e-08,6.149550665049855e-13,9.052825025948503e-15,0.9733685674934495,0.13554338840400335
Mini Skirts_score,1.2965824024185356e-10,1.1071331223122502e-48,1.1748788787764195e-26,2.4379716173843966e-12,9.769603369437116e-08,8.059678539728256e-12,0.7033733271462609,0.2543101618323996
